City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Kemijarvi,FI,66.7131,27.4306,45.5,76,18,2.59,few clouds
278,Ponta Do Sol,PT,32.6667,-17.1,68.0,82,99,1.16,overcast clouds
279,Mandan,US,46.8267,-100.8896,60.78,96,100,14.97,overcast clouds
280,Vicuna,CL,-30.0319,-70.7081,44.33,63,100,0.78,overcast clouds
281,Waipawa,NZ,-41.4122,175.5153,49.8,73,72,4.14,broken clouds
282,Rigaud,CA,45.4793,-74.3024,69.78,56,96,5.17,overcast clouds
283,Williams Lake,CA,52.1415,-122.1445,51.37,61,75,14.97,broken clouds
284,Axim,GH,4.8699,-2.2405,79.41,85,100,5.19,overcast clouds
285,Emerald,AU,-23.5333,148.1667,77.34,80,64,9.28,broken clouds
286,Paraiso,CR,9.8383,-83.8656,65.41,96,100,0.83,overcast clouds
287,Santa Maria,BR,-29.6842,-53.8069,48.83,92,1,4.25,clear sky
288,Tanabe,JP,33.7333,135.3667,70.81,100,75,3.44,light intensity shower rain
289,Kawalu,ID,-7.3817,108.2082,89.1,56,52,3.65,broken clouds
290,San Patricio,US,28.017,-97.5169,80.46,81,0,11.41,clear sky
291,Koroni,GR,36.8,21.95,64.08,69,100,3.76,overcast clouds
292,Jega,NG,12.2175,4.3792,86.88,52,7,8.95,clear sky
293,Fengkou,CN,30.0833,113.2667,72.79,57,62,16.58,broken clouds
294,Lagoa,PT,39.05,-27.9833,59.4,71,37,11.74,scattered clouds
295,Pauini,BR,-7.7136,-66.9764,75.67,90,100,1.61,overcast clouds
296,Isangel,VU,-19.55,169.2667,75.2,62,100,18.79,overcast clouds
297,Oxilithos,GR,38.5833,24.1167,62.73,53,100,2.8,overcast clouds
298,Pundaguitan,PH,6.3711,126.1689,83.41,72,95,3.47,overcast clouds
299,Bannu,PK,32.9854,70.6027,102.79,6,0,3.18,clear sky
300,Brigantine,US,39.4101,-74.3646,57.2,100,100,6.91,fog
301,Zhigansk,RU,66.7697,123.3711,36.77,65,12,6.55,few clouds
302,Virden,US,39.5009,-89.7679,76.68,62,32,9.69,scattered clouds
303,Ferrol,ES,43.4832,-8.2369,56.71,87,90,6.26,overcast clouds
304,Arsk,RU,56.0915,49.8778,48.97,78,54,11.81,broken clouds
305,Karratha,AU,-20.7377,116.8463,79.75,73,84,12.48,broken clouds
306,Saint-Louis,SN,16.3333,-15.0,79.72,36,50,8.16,scattered clouds
307,Santiago Del Estero,AR,-27.7951,-64.2615,64.96,61,93,11.5,overcast clouds
308,Bonavista,CA,48.6499,-53.1147,36.07,82,7,8.03,clear sky
309,Mednogorskiy,RU,43.9178,41.1825,55.26,54,20,1.61,few clouds
310,Yulara,AU,-25.2406,130.9889,84.45,22,37,16.98,scattered clouds
311,Achacachi,BO,-16.05,-68.6833,38.19,79,3,4.18,clear sky
312,Zelenoborsk,RU,61.4669,64.0333,59.81,40,85,8.32,overcast clouds
313,Kommunisticheskiy,RU,61.6789,64.4819,60.57,37,81,8.01,broken clouds
314,Sao Filipe,CV,14.8961,-24.4956,72.0,84,92,10.31,overcast clouds
315,Novosemeykino,RU,53.3833,50.3667,41.95,93,40,13.42,light intensity shower rain
316,Lishan,CN,31.8576,113.2951,68.58,53,65,12.03,broken clouds
317,Cabinda,AO,-5.55,12.2,76.05,92,71,4.23,broken clouds
318,Oranjemund,NA,-28.55,16.4333,50.58,82,36,5.99,scattered clouds
319,Sovetskiy,RU,61.3614,63.5842,59.23,42,87,8.75,overcast clouds
320,Batagay,RU,67.6333,134.6333,37.58,94,100,9.31,light rain
321,Sciacca,IT,37.5082,13.0881,66.04,59,83,3.65,broken clouds
322,Dunda,TZ,-8.1167,34.25,64.49,75,97,2.17,overcast clouds
323,Talnakh,RU,69.4865,88.3972,38.21,100,100,10.45,overcast clouds
324,Lebyazhye,RU,55.2689,66.4947,65.41,30,100,16.06,overcast clouds
325,Mutsu,JP,41.2894,141.2169,59.88,76,100,7.18,overcast clouds
326,Kahului,US,20.8947,-156.47,80.62,64,40,25.32,scattered clouds
327,Mapastepec,MX,15.4333,-92.9,78.1,76,39,4.5,scattered clouds
328,Yatou,CN,37.15,122.3833,58.64,56,100,4.92,overcast clouds
329,Rawlins,US,41.7911,-107.2387,42.69,33,0,23.02,clear sky
330,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,46.74,66,90,5.44,overcast clouds
331,Bandarbeyla,SO,9.4942,50.8122,87.78,62,100,13.15,overcast clouds
332,Filingue,NE,14.3521,3.3168,88.83,37,51,9.19,broken clouds
333,Ancud,CL,-41.8697,-73.8203,47.16,75,27,9.06,scattered clouds
334,Ekhabi,RU,53.5102,142.9671,38.62,94,100,3.56,overcast clouds
335,Hithadhoo,MV,-0.6,73.0833,83.82,68,57,13.13,broken clouds
336,Dunedin,NZ,-45.8742,170.5036,55.8,64,94,1.28,overcast clouds
337,Benguela,AO,-12.5763,13.4055,72.97,86,0,3.31,clear sky
338,Bereda,ES,43.2686,-7.5406,52.38,96,95,3.27,overcast clouds
339,Grabouw,ZA,-34.1515,19.0151,52.48,80,98,5.14,overcast clouds
340,Kloulklubed,PW,7.0419,134.2556,77.5,78,99,10.07,overcast clouds
341,Rio Grande,BR,-32.035,-52.0986,57.06,74,6,4.52,clear sky
342,Iskateley,RU,67.6803,53.1512,43.02,96,100,11.07,overcast clouds
